type	threads	total time, s	time per step, us	n	x
threading	1	16.9114	0.169114	100000000.0	-2.1
threading	1	13.8707	0.138707	100000000.0	-1.0
threading	1	5.415	0.05415	100000000.0	0.0
threading	1	11.8595	0.118595	100000000.0	1.0
threading	1	15.5951	0.155951	100000000.0	5.0
threading	1	15.3321	0.153321	100000000.0	13.54
threading	2	8.54682	0.0854682	100000000.0	-2.1
threading	2	6.95265	0.0695265	100000000.0	-1.0
threading	2	2.7098	0.027098	100000000.0	0.0
threading	2	8.83559	0.0883559	100000000.0	1.0
threading	2	7.64195	0.0764195	100000000.0	5.0
threading	2	7.63974	0.0763974	100000000.0	13.54
threading	3	5.66689	0.0566689	100000000.0	-2.1
threading	3	4.65315	0.0465315	100000000.0	-1.0
threading	3	1.82841	0.0182841	100000000.0	0.0
threading	3	3.93515	0.0393515	100000000.0	1.0
threading	3	5.11437	0.0511437	100000000.0	5.0
threading	3	5.11806	0.0511806	100000000.0	13.54
threading	4	4.34312	0.0434312	100000000.0	-2.1
threading	4	3.55037	0.0355037	100000000.0	-1.0
threading	4	1.40393	0.0140393	100000000.0	0.0
threading	4	2.99946	0.0299946	100000000.0	1.0
threading	4	3.91845	0.0391845	100000000.0	5.0
threading	4	3.90974	0.0390974	100000000.0	13.54
threading	5	4.43818	0.0443818	100000000.0	-2.1
threading	5	3.71647	0.0371647	100000000.0	-1.0
threading	5	1.49521	0.0149521	100000000.0	0.0
threading	5	3.06082	0.0306082	100000000.0	1.0
threading	5	4.03594	0.0403594	100000000.0	5.0
threading	5	3.98696	0.0398696	100000000.0	13.54
threading	6	4.3444	0.043444	100000000.0	-2.1
threading	6	3.67673	0.0367673	100000000.0	-1.0
threading	6	1.45363	0.0145363	100000000.0	0.0
threading	6	3.07474	0.0307474	100000000.0	1.0
threading	6	4.0375	0.040375	100000000.0	5.0
threading	6	4.12274	0.0412274	100000000.0	13.54
threading	7	4.45389	0.0445389	100000000.0	-2.1
threading	7	3.62509	0.0362509	100000000.0	-1.0
threading	7	1.43726	0.0143726	100000000.0	0.0
threading	7	3.06803	0.0306803	100000000.0	1.0
threading	7	4.00179	0.0400179	100000000.0	5.0
threading	7	3.97004	0.0397004	100000000.0	13.54
threading	8	4.32055	0.0432055	100000000.0	-2.1
threading	8	3.59999	0.0359999	100000000.0	-1.0
threading	8	1.41269	0.0141269	100000000.0	0.0
threading	8	3.069	0.03069	100000000.0	1.0
threading	8	3.95143	0.0395143	100000000.0	5.0
threading	8	3.94924	0.0394924	100000000.0	13.54
threading	9	4.38421	0.0438421	100000000.0	-2.1
threading	9	3.6424	0.036424	100000000.0	-1.0
threading	9	1.39546	0.0139546	100000000.0	0.0
threading	9	3.04769	0.0304769	100000000.0	1.0
threading	9	3.94551	0.0394551	100000000.0	5.0
threading	9	3.98252	0.0398252	100000000.0	13.54
threading	10	4.37556	0.0437556	100000000.0	-2.1
threading	10	3.64416	0.0364416	100000000.0	-1.0
threading	10	1.39538	0.0139538	100000000.0	0.0
threading	10	3.06686	0.0306686	100000000.0	1.0
threading	10	3.97432	0.0397432	100000000.0	5.0
threading	10	3.95766	0.0395766	100000000.0	13.54
threading	11	4.36608	0.0436608	100000000.0	-2.1
threading	11	4.07178	0.0407178	100000000.0	-1.0
threading	11	1.39739	0.0139739	100000000.0	0.0
threading	11	3.0459	0.0304589	100000000.0	1.0
threading	11	3.93695	0.0393695	100000000.0	5.0
threading	11	3.98542	0.0398542	100000000.0	13.54
threading	12	4.36473	0.0436473	100000000.0	-2.1
threading	12	3.60984	0.0360984	100000000.0	-1.0
threading	12	1.43515	0.0143515	100000000.0	0.0
threading	12	3.0413	0.030413	100000000.0	1.0
threading	12	3.95647	0.0395647	100000000.0	5.0
threading	12	3.96571	0.0396571	100000000.0	13.54
threading	13	4.36779	0.0436779	100000000.0	-2.1
threading	13	3.57176	0.0357176	100000000.0	-1.0
threading	13	1.41719	0.0141719	100000000.0	0.0
threading	13	3.09452	0.0309452	100000000.0	1.0
threading	13	3.99639	0.0399639	100000000.0	5.0
threading	13	3.97193	0.0397193	100000000.0	13.54
threading	14	4.37	0.0437	100000000.0	-2.1
threading	14	3.83483	0.0383483	100000000.0	-1.0
threading	14	1.39768	0.0139768	100000000.0	0.0
threading	14	3.05167	0.0305167	100000000.0	1.0
threading	14	4.03034	0.0403034	100000000.0	5.0
threading	14	3.93363	0.0393363	100000000.0	13.54
threading	15	4.35828	0.0435828	100000000.0	-2.1
threading	15	3.82753	0.0382753	100000000.0	-1.0
threading	15	1.41463	0.0141463	100000000.0	0.0
threading	15	3.03016	0.0303016	100000000.0	1.0
threading	15	3.97284	0.0397284	100000000.0	5.0
threading	15	4.03588	0.0403588	100000000.0	13.54
threading	16	4.33092	0.0433092	100000000.0	-2.1
threading	16	3.54865	0.0354865	100000000.0	-1.0
threading	16	1.38101	0.0138101	100000000.0	0.0
threading	16	3.0179	0.030179	100000000.0	1.0
threading	16	3.88339	0.0388339	100000000.0	5.0
threading	16	3.88692	0.0388692	100000000.0	13.54
threading	17	4.33462	0.0433462	100000000.0	-2.1
threading	17	3.55986	0.0355986	100000000.0	-1.0
threading	17	1.4704	0.014704	100000000.0	0.0
threading	17	3.03247	0.0303247	100000000.0	1.0
threading	17	3.93087	0.0393087	100000000.0	5.0
threading	17	3.9079	0.039079	100000000.0	13.54
threading	18	4.31789	0.0431789	100000000.0	-2.1
threading	18	3.58401	0.0358401	100000000.0	-1.0
threading	18	1.39678	0.0139678	100000000.0	0.0
threading	18	3.01076	0.0301076	100000000.0	1.0
threading	18	3.91462	0.0391462	100000000.0	5.0
threading	18	3.92942	0.0392942	100000000.0	13.54
threading	19	4.3336	0.043336	100000000.0	-2.1
threading	19	3.56667	0.0356667	100000000.0	-1.0
threading	19	1.38761	0.0138761	100000000.0	0.0
threading	19	3.00683	0.0300683	100000000.0	1.0
threading	19	3.89594	0.0389594	100000000.0	5.0
threading	19	3.90929	0.0390929	100000000.0	13.54
